Package,Built
acepack,3.5.0
assertthat,3.5.0
backports,3.5.0
base64enc,3.5.0
BH,3.5.0
bindr,3.5.0
bindrcpp,3.5.0
bit,3.5.0
bit64,3.5.0
bitops,3.5.0
blob,3.5.0
broom,3.5.0
callr,3.5.0
caTools,3.5.0
cellranger,3.5.0
checkmate,3.5.0
classInt,3.5.0
cli,3.5.0
clipr,3.5.2
clisymbols,3.5.0
cmprsk,3.5.0
colorspace,3.5.0
covr,3.5.0
cowplot,3.5.0
cowsay,3.5.0
crayon,3.5.0
curl,3.5.0
data.table,3.5.0
DBI,3.5.0
dbplyr,3.5.0
desc,3.5.0
deSolve,3.5.0
devtools,3.5.0
dgconstraint,3.5.2
digest,3.5.0
diskImageR,3.5.1
dplyr,3.5.0
dtplyr,3.5.0
e1071,3.5.0
egg,3.5.0
evaluate,3.5.0
exactRankTests,3.5.0
fansi,3.5.0
flexsurv,3.5.0
fontBitstreamVera,3.5.0
fontLiberation,3.5.0
fontquiver,3.5.0
forcats,3.5.0
Formula,3.5.0
fortunes,3.5.0
fs,3.5.0
gdtools,3.5.0
ggplot2,3.5.0
ggplot2movies,3.5.0
ggpubr,3.5.0
ggrepel,3.5.0
ggsci,3.5.0
ggsignif,3.5.0
gh,3.5.0
git2r,3.5.0
glue,3.5.0
gridExtra,3.5.0
gtable,3.5.0
haven,3.5.0
here,3.5.0
hexbin,3.5.0
highr,3.5.0
Hmisc,3.5.0
hms,3.5.0
htmlTable,3.5.0
htmltools,3.5.0
htmlwidgets,3.5.0
httpuv,3.5.0
httr,3.5.0
ini,3.5.0
jsonlite,3.5.0
km.ci,3.5.0
KMsurv,3.5.0
knitr,3.5.0
labeling,3.5.0
Lahman,3.5.0
later,3.5.0
latticeExtra,3.5.0
lazyeval,3.5.0
lubridate,3.5.0
magrittr,3.5.0
mapproj,3.5.0
maps,3.5.0
maptools,3.5.0
markdown,3.5.0
MatrixModels,3.5.0
maxstat,3.5.0
memoise,3.5.0
microbenchmark,3.5.0
mime,3.5.0
modelr,3.5.0
mstate,3.5.0
muhaz,3.5.0
multcomp,3.5.0
munsell,3.5.0
mvtnorm,3.5.0
nycflights13,3.5.0
openssl,3.5.0
pillar,3.5.0
pkgconfig,3.5.0
plogr,3.5.0
plyr,3.5.0
polynom,3.5.0
praise,3.5.0
prettyunits,3.5.0
processx,3.5.0
progress,3.5.0
promises,3.5.0
ps,3.5.2
purrr,3.5.0
quadprog,3.5.0
quantreg,3.5.0
R6,3.5.0
RColorBrewer,3.5.0
Rcpp,3.5.0
readr,3.5.0
readxl,3.5.0
rematch,3.5.0
reprex,3.5.0
reshape2,3.5.0
rex,3.5.0
rgeos,3.5.0
rlang,3.5.0
rmarkdown,3.5.0
rmsfact,3.5.0
RMySQL,3.5.0
RPostgreSQL,3.5.0
rprojroot,3.5.0
RSQLite,3.5.0
rstudioapi,3.5.0
rvest,3.5.0
sandwich,3.5.0
scales,3.5.0
selectr,3.5.0
sf,3.5.0
shiny,3.5.0
socviz,3.5.1
sourcetools,3.5.0
sp,3.5.0
SparseM,3.5.0
spData,3.5.0
stringi,3.5.0
stringr,3.5.0
subplex,3.5.0
survminer,3.5.0
survMisc,3.5.0
svglite,3.5.0
testthat,3.5.0
TH.data,3.5.0
tibble,3.5.0
tidyr,3.5.0
tidyselect,3.5.0
tidyverse,3.5.0
tinytex,3.5.0
units,3.5.0
usethis,3.5.0
utf8,3.5.0
vdiffr,3.5.0
viridis,3.5.0
viridisLite,3.5.0
whisker,3.5.0
withr,3.5.0
xfun,3.5.0
xml2,3.5.0
xtable,3.5.0
yaml,3.5.0
zoo,3.5.0
